symbol=BTRUSDT interval=1 bars=28776
dates=2026-09-03 -> 2026-09-22
deposit=$100 notional/trade=$10 (10.0% ) fixed_qty=0.0
offset=0.03 ttl=20.0s min_d=0.003 sl=0.02 tp=0.04 trail=0.02 be=0.01
trades=32 win%=100.0
pnl_usdt=4.2351 pnl%=4.235 equity=$104.24 avg_trade%=1.323 sum_trade%=42.351 kills=0
replaces=2455 extends=24285 expires=1972
  entry=0.0423405 exit=0.042777 qty=236.18 pnl=0.1031 +1.031% trail
  entry=0.052671 exit=0.0537922 qty=189.858 pnl=0.2129 +2.129% trail
  entry=0.0479665 exit=0.0485884 qty=208.479 pnl=0.1297 +1.297% trail
  entry=0.0524673 exit=0.053067 qty=190.595 pnl=0.1143 +1.143% trail
  entry=0.0502848 exit=0.0510384 qty=198.867 pnl=0.1499 +1.499% trail
  entry=0.0518174 exit=0.0526358 qty=192.985 pnl=0.1579 +1.579% trail
  entry=0.0458228 exit=0.0463442 qty=218.232 pnl=0.1138 +1.138% trail
  entry=0.0507698 exit=0.0514892 qty=196.967 pnl=0.1417 +1.417% trail
  entry=0.0532336 exit=0.0539294 qty=187.851 pnl=0.1307 +1.307% trail
  entry=0.0522442 exit=0.052871 qty=191.409 pnl=0.1200 +1.200% trail
  entry=0.0474912 exit=0.0481572 qty=210.565 pnl=0.1402 +1.402% trail
  entry=0.0471032 exit=0.047726 qty=212.3 pnl=0.1322 +1.322% trail
  entry=0.0503915 exit=0.0510188 qty=198.446 pnl=0.1245 +1.245% trail
  entry=0.0533015 exit=0.0540568 qty=187.612 pnl=0.1417 +1.417% trail
  entry=0.0522151 exit=0.0528416 qty=191.515 pnl=0.1200 +1.200% trail
  entry=0.0606541 exit=0.0616518 qty=164.869 pnl=0.1645 +1.645% trail
  entry=0.0635253 exit=0.0641802 qty=157.418 pnl=0.1031 +1.031% trail
  entry=0.0690737 exit=0.0698838 qty=144.773 pnl=0.1173 +1.173% trail
  entry=0.0649124 exit=0.065807 qty=154.054 pnl=0.1378 +1.378% trail
  entry=0.0651258 exit=0.0657972 qty=153.549 pnl=0.1031 +1.031% trail
  entry=0.0652131 exit=0.066101 qty=153.343 pnl=0.1362 +1.362% trail
  entry=0.0643498 exit=0.06517 qty=155.401 pnl=0.1275 +1.275% trail
  entry=0.063632 exit=0.0645134 qty=157.154 pnl=0.1385 +1.385% trail
  entry=0.0565607 exit=0.0575848 qty=176.801 pnl=0.1811 +1.811% trail
  entry=0.0537477 exit=0.0548702 qty=186.054 pnl=0.2088 +2.088% trail
  entry=0.0512839 exit=0.0519106 qty=194.993 pnl=0.1222 +1.222% trail
  entry=0.052477 exit=0.053116 qty=190.56 pnl=0.1218 +1.218% trail
  entry=0.0528456 exit=0.0533904 qty=189.231 pnl=0.1031 +1.031% trail
  entry=0.0495573 exit=0.0500682 qty=201.787 pnl=0.1031 +1.031% trail
  entry=0.0560369 exit=0.0566146 qty=178.454 pnl=0.1031 +1.031% trail
  entry=0.0548632 exit=0.0555464 qty=182.272 pnl=0.1245 +1.245% trail
  entry=0.0504109 exit=0.0509502 qty=198.37 pnl=0.1070 +1.070% trail
