BRUSDT 1m | 306 candles | 17.09 12:00 - 17.09 17:05
Impulse: 31.9%% at 12:12 MSK (0.5307 -> 0.7000)
POC=0.6506, RANGE=+/-20%% (0.5205 - 0.7807)

time,open,high,low,close,volume
12:00,0.5605,0.5661,0.5394,0.5471,502487
12:01,0.5471,0.5586,0.5418,0.5493,409148
12:02,0.5493,0.5585,0.5446,0.5552,315013
12:03,0.5552,0.5617,0.5492,0.5520,212733
12:04,0.5520,0.5523,0.5455,0.5456,96789
12:05,0.5456,0.5486,0.5388,0.5402,227917
12:06,0.5402,0.5441,0.5375,0.5422,227972
12:07,0.5422,0.5495,0.5391,0.5451,189893
12:08,0.5451,0.5489,0.5427,0.5427,97153
12:09,0.5427,0.5445,0.5348,0.5410,193503
12:10,0.5410,0.5435,0.5307,0.5420,221450
12:11,0.5420,0.5498,0.5408,0.5495,158752
12:12,0.5495,0.7000,0.5446,0.6723,2933507
12:13,0.6723,0.6898,0.6058,0.6101,1530231
12:14,0.6101,0.6395,0.6038,0.6291,524448
12:15,0.6291,0.6363,0.5879,0.6053,693180
12:16,0.6053,0.6278,0.6046,0.6109,672590
12:17,0.6109,0.6183,0.6029,0.6171,251836
12:18,0.6171,0.6208,0.6069,0.6142,176049
12:19,0.6142,0.6160,0.6089,0.6126,106339
12:20,0.6126,0.6142,0.5959,0.6039,314013
12:21,0.6039,0.6089,0.6010,0.6075,126994
12:22,0.6075,0.6148,0.6053,0.6110,148803
12:23,0.6110,0.6190,0.6080,0.6094,154275
12:24,0.6094,0.6128,0.6084,0.6124,48509
12:25,0.6124,0.6225,0.6100,0.6127,165422
12:26,0.6127,0.6164,0.6114,0.6145,74022
12:27,0.6145,0.6147,0.6112,0.6134,46125
12:28,0.6134,0.6167,0.6127,0.6137,56145
12:29,0.6137,0.6137,0.5987,0.6005,201269
12:30,0.6005,0.6036,0.5904,0.5973,220648
12:31,0.5973,0.6019,0.5913,0.5947,191522
12:32,0.5947,0.5996,0.5901,0.5955,109286
12:33,0.5955,0.5980,0.5936,0.5951,55622
12:34,0.5951,0.6130,0.5922,0.6060,263410
12:35,0.6060,0.6112,0.6043,0.6076,106816
12:36,0.6076,0.6116,0.6061,0.6092,47756
12:37,0.6092,0.6179,0.6075,0.6137,119149
12:38,0.6137,0.6186,0.6120,0.6157,86347
12:39,0.6157,0.6483,0.6152,0.6355,749829
12:40,0.6355,0.6542,0.6324,0.6418,666551
12:41,0.6418,0.6624,0.6418,0.6583,327485
12:42,0.6583,0.6615,0.6432,0.6472,197591
12:43,0.6472,0.6534,0.6440,0.6480,102728
12:44,0.6480,0.6624,0.6474,0.6504,244344
12:45,0.6504,0.6558,0.6443,0.6514,127785
12:46,0.6514,0.6605,0.6491,0.6566,147866
12:47,0.6566,0.6637,0.6535,0.6603,176398
12:48,0.6603,0.6678,0.6455,0.6492,231122
12:49,0.6492,0.6513,0.6435,0.6452,88529
12:50,0.6452,0.6484,0.6340,0.6442,228247
12:51,0.6442,0.6490,0.6406,0.6484,59668
12:52,0.6484,0.6484,0.6373,0.6388,118926
12:53,0.6388,0.6442,0.6380,0.6381,46541
12:54,0.6381,0.6410,0.6321,0.6399,84291
12:55,0.6399,0.6476,0.6381,0.6453,105429
12:56,0.6453,0.6473,0.6420,0.6461,41152
12:57,0.6461,0.6473,0.6441,0.6465,17486
12:58,0.6465,0.6483,0.6444,0.6455,43833
12:59,0.6455,0.6466,0.6378,0.6406,119009
13:00,0.6406,0.6456,0.6385,0.6395,102552
13:01,0.6395,0.6411,0.6360,0.6366,62287
13:02,0.6366,0.6455,0.6366,0.6416,68046
13:03,0.6416,0.6454,0.6408,0.6442,56179
13:04,0.6442,0.6469,0.6403,0.6413,32678
13:05,0.6413,0.6477,0.6410,0.6470,39615
13:06,0.6470,0.6472,0.6446,0.6464,28922
13:07,0.6464,0.6472,0.6448,0.6458,27040
13:08,0.6458,0.6528,0.6457,0.6474,98888
13:09,0.6474,0.6483,0.6418,0.6437,48268
13:10,0.6437,0.6523,0.6434,0.6510,46154
13:11,0.6510,0.6631,0.6510,0.6564,244722
13:12,0.6564,0.6577,0.6490,0.6517,89008
13:13,0.6517,0.6536,0.6502,0.6516,39706
13:14,0.6516,0.6578,0.6507,0.6535,56737
13:15,0.6535,0.6607,0.6516,0.6602,59757
13:16,0.6602,0.6608,0.6558,0.6595,69960
13:17,0.6595,0.6854,0.6571,0.6652,546586
13:18,0.6652,0.6672,0.6586,0.6603,135451
13:19,0.6603,0.6625,0.6587,0.6618,68848
13:20,0.6618,0.6652,0.6552,0.6576,110530
13:21,0.6576,0.6581,0.6458,0.6458,122985
13:22,0.6458,0.6547,0.6458,0.6510,81217
13:23,0.6510,0.6623,0.6510,0.6591,179241
13:24,0.6591,0.6611,0.6579,0.6597,50114
13:25,0.6597,0.6620,0.6561,0.6572,41287
13:26,0.6572,0.6607,0.6559,0.6605,85263
13:27,0.6605,0.6641,0.6575,0.6588,67320
13:28,0.6588,0.6615,0.6587,0.6593,32277
13:29,0.6593,0.6605,0.6574,0.6599,33523
13:30,0.6599,0.6622,0.6567,0.6569,24195
13:31,0.6569,0.6596,0.6567,0.6587,44294
13:32,0.6587,0.6639,0.6579,0.6621,36808
13:33,0.6621,0.6644,0.6586,0.6597,34386
13:34,0.6597,0.6622,0.6593,0.6605,27462
13:35,0.6605,0.6620,0.6578,0.6585,24387
13:36,0.6585,0.6594,0.6547,0.6554,69066
13:37,0.6554,0.6565,0.6516,0.6543,32840
13:38,0.6543,0.6617,0.6528,0.6611,55124
13:39,0.6611,0.6616,0.6571,0.6598,51354
13:40,0.6598,0.6643,0.6553,0.6571,83293
13:41,0.6571,0.6590,0.6540,0.6554,47365
13:42,0.6554,0.6585,0.6539,0.6581,37521
13:43,0.6581,0.6584,0.6488,0.6495,42313
13:44,0.6495,0.6563,0.6475,0.6536,50665
13:45,0.6536,0.6537,0.6406,0.6416,108131
13:46,0.6416,0.6479,0.6406,0.6415,123964
13:47,0.6415,0.6435,0.6305,0.6340,260083
13:48,0.6340,0.6361,0.6223,0.6316,326406
13:49,0.6316,0.6365,0.6259,0.6357,100529
13:50,0.6357,0.6380,0.6323,0.6342,74680
13:51,0.6342,0.6404,0.6306,0.6373,89150
13:52,0.6373,0.6451,0.6358,0.6422,128426
13:53,0.6422,0.6441,0.6400,0.6405,81512
13:54,0.6405,0.6418,0.6375,0.6390,71906
13:55,0.6390,0.6394,0.6311,0.6344,98641
13:56,0.6344,0.6347,0.6212,0.6318,154625
13:57,0.6318,0.6338,0.6294,0.6319,70986
13:58,0.6319,0.6390,0.6319,0.6378,42551
13:59,0.6378,0.6389,0.6273,0.6301,98456
14:00,0.6301,0.6360,0.6276,0.6343,70602
14:01,0.6343,0.6344,0.6247,0.6332,44994
14:02,0.6332,0.6341,0.6315,0.6322,18916
14:03,0.6322,0.6347,0.6308,0.6332,20500
14:04,0.6332,0.6388,0.6314,0.6366,60640
14:05,0.6366,0.6384,0.6345,0.6360,56737
14:06,0.6360,0.6450,0.6352,0.6410,86683
14:07,0.6410,0.6433,0.6392,0.6405,93868
14:08,0.6405,0.6408,0.6373,0.6390,46584
14:09,0.6390,0.6392,0.6367,0.6380,30183
14:10,0.6380,0.6392,0.6336,0.6350,44748
14:11,0.6350,0.6380,0.6338,0.6372,32863
14:12,0.6372,0.6405,0.6372,0.6383,28234
14:13,0.6383,0.6414,0.6365,0.6384,101211
14:14,0.6384,0.6386,0.6357,0.6357,13588
14:15,0.6357,0.6398,0.6357,0.6388,16169
14:16,0.6388,0.6401,0.6362,0.6400,17360
14:17,0.6400,0.6593,0.6397,0.6573,375761
14:18,0.6573,0.6602,0.6450,0.6497,122842
14:19,0.6497,0.6517,0.6450,0.6457,31159
14:20,0.6457,0.6502,0.6432,0.6479,40209
14:21,0.6479,0.6479,0.6446,0.6461,31510
14:22,0.6461,0.6473,0.6453,0.6469,9970
14:23,0.6469,0.6470,0.6427,0.6445,22252
14:24,0.6445,0.6466,0.6434,0.6456,44069
14:25,0.6456,0.6457,0.6396,0.6422,45997
14:26,0.6422,0.6439,0.6406,0.6417,31514
14:27,0.6417,0.6429,0.6410,0.6426,21911
14:28,0.6426,0.6426,0.6392,0.6400,27774
14:29,0.6400,0.6423,0.6400,0.6409,14621
14:30,0.6409,0.6439,0.6375,0.6398,34789
14:31,0.6398,0.6398,0.6382,0.6389,14978
14:32,0.6389,0.6471,0.6389,0.6457,55659
14:33,0.6457,0.6469,0.6438,0.6441,24063
14:34,0.6441,0.6455,0.6434,0.6434,14370
14:35,0.6434,0.6487,0.6432,0.6468,18946
14:36,0.6468,0.6507,0.6462,0.6484,31913
14:37,0.6484,0.6500,0.6459,0.6473,30457
14:38,0.6473,0.6486,0.6450,0.6461,24049
14:39,0.6461,0.6471,0.6452,0.6464,23507
14:40,0.6464,0.6465,0.6424,0.6432,23164
14:41,0.6432,0.6526,0.6424,0.6478,47393
14:42,0.6478,0.6478,0.6442,0.6469,18872
14:43,0.6469,0.6471,0.6455,0.6460,14964
14:44,0.6460,0.6471,0.6454,0.6469,13103
14:45,0.6469,0.6477,0.6442,0.6459,25227
14:46,0.6459,0.6467,0.6432,0.6460,44854
14:47,0.6460,0.6485,0.6446,0.6480,20960
14:48,0.6480,0.6491,0.6461,0.6463,22491
14:49,0.6463,0.6508,0.6463,0.6494,13825
14:50,0.6494,0.6514,0.6493,0.6514,28220
14:51,0.6514,0.6544,0.6501,0.6543,32656
14:52,0.6543,0.6552,0.6521,0.6523,19224
14:53,0.6523,0.6559,0.6511,0.6519,29255
14:54,0.6519,0.6558,0.6517,0.6552,20854
14:55,0.6552,0.6552,0.6513,0.6525,15751
14:56,0.6525,0.6529,0.6512,0.6521,10528
14:57,0.6521,0.6528,0.6516,0.6517,31499
14:58,0.6517,0.6523,0.6491,0.6520,27921
14:59,0.6520,0.6557,0.6496,0.6551,32232
15:00,0.6551,0.6585,0.6500,0.6512,73911
15:01,0.6512,0.6543,0.6432,0.6435,122770
15:02,0.6435,0.6511,0.6435,0.6505,72758
15:03,0.6505,0.6511,0.6476,0.6494,22648
15:04,0.6494,0.6495,0.6471,0.6472,22413
15:05,0.6472,0.6482,0.6459,0.6472,23939
15:06,0.6472,0.6483,0.6464,0.6476,14531
15:07,0.6476,0.6476,0.6393,0.6419,59040
15:08,0.6419,0.6444,0.6413,0.6413,60000
15:09,0.6413,0.6437,0.6394,0.6430,42294
15:10,0.6430,0.6442,0.6395,0.6402,82227
15:11,0.6402,0.6426,0.6402,0.6421,10573
15:12,0.6421,0.6433,0.6414,0.6422,9338
15:13,0.6422,0.6427,0.6406,0.6413,14403
15:14,0.6413,0.6435,0.6407,0.6407,40061
15:15,0.6407,0.6480,0.6401,0.6444,61270
15:16,0.6444,0.6497,0.6442,0.6449,51485
15:17,0.6449,0.6471,0.6447,0.6460,14107
15:18,0.6460,0.6466,0.6427,0.6434,29586
15:19,0.6434,0.6438,0.6391,0.6411,54732
15:20,0.6411,0.6430,0.6387,0.6414,17033
15:21,0.6414,0.6424,0.6385,0.6385,17593
15:22,0.6385,0.6421,0.6371,0.6421,35080
15:23,0.6421,0.6432,0.6382,0.6396,21522
15:24,0.6396,0.6408,0.6386,0.6400,9619
15:25,0.6400,0.6402,0.6365,0.6377,17065
15:26,0.6377,0.6390,0.6341,0.6356,149491
15:27,0.6356,0.6452,0.6356,0.6423,34113
15:28,0.6423,0.6432,0.6409,0.6432,122079
15:29,0.6432,0.6509,0.6418,0.6499,100069
15:30,0.6499,0.6570,0.6470,0.6524,114321
15:31,0.6524,0.6555,0.6493,0.6511,40157
15:32,0.6511,0.6595,0.6511,0.6540,108263
